~No.overall~No. inseason~Title~Directed by~Written by~Original air date~Prod.code~U.S. viewers(millions)~season~Rating(18–49)~Rating/share(18–49)~Special No.~U.S. viewersmillions
102~106~9~The One With Ross'S Sandwich~Gary Halvorson~Ted Cohen & Andrew Reich~December 10, 1998~467658.0~23.03~5~~11.9/35~~
103~107~10~The One With The Inappropriate Sister~Dana DeVally Piazza~Shana Goldberg-Meehan~December 17, 1998~467661.0~23.67~5~~12.0/36~~
104~108~11~The One With All The Resolutions~Joe Regalbuto~Story by : Brian BoyleTeleplay by : Suzie Villandry~January 7, 1999~467660.0~27.02~5~~14.2/37~~
105~109~12~The One With Chandler'S Work Laugh~Kevin S. Bright~Alicia Sky Varinaitis~January 21, 1999~467663.0~24.82~5~~13.3/35~~
106~110~13~The One With Joey'S Bag~Gail Mancuso~Story by : Michael CurtisTeleplay by : Seth Kurland~February 4, 1999~467662.0~24.92~5~~13.2/36~~
107~111~14~The One Where Everybody Finds Out~Michael Lembeck~Alexa Junge~February 11, 1999~467664.0~27.70~5~~15.0/41~~
108~112~15~The One With The Girl Who Hits Joey~Kevin S. Bright~Adam Chase~February 18, 1999~467665.0~29.31~5~~15.3/40~~
109~113~16~The One With The Cop~Andrew Tsao~Story by : Alicia Sky VarinaitisTeleplay by : Gigi McCreery & Perry Rein~February 25, 1999~467666.0~26.02~5~~13.9/37~~
110~114~17~The One With Rachel'S Inadvertent Kiss~Shelley Jensen~Andrew Reich & Ted Cohen~March 18, 1999~467667.0~24.48~5~~12.7/35~~
111~115~18~The One Where Rachel Smokes~Todd Holland~Michael Curtis~April 8, 1999~467668.0~21.88~5~~11.8/38~~
112~116~19~The One Where Ross Can'T Flirt~Gail Mancuso~Doty Abrams~April 22, 1999~467669.0~20.85~5~~10.9/36~~
113~117~20~The One With The Ride-Along~Gary Halvorson~Shana Goldberg-Meehan & Seth Kurland~April 29, 1999~467670.0~19.63~5~~10.8/34~~
114~118~21~The One With The Ball~Gary Halvorson~Story by : Scott SilveriTeleplay by : Gregory S. Malins~May 6, 1999~467671.0~20.92~5~~11.2/36~~
115~119~22~The One With Joey'S Big Break~Gary Halvorson~Story by : Shana Goldberg-MeehanTeleplay by : Wil Calhoun~May 13, 1999~467672.0~21.28~5~~11.2/35~~
116~120121~2324~The One In Vegas~Kevin S. Bright~Ted Cohen & Andrew ReichGregory S. Malins & Scott Silveri~May 20, 1999~467673467674.0~25.90~5~~14.2/42~~
117~122~1~The One After Vegas~Kevin S. Bright~Adam Chase~September 23, 1999~225551.0~27.74~6~~15.0/44~~
118~123~2~The One Where Ross Hugs Rachel~Gail Mancuso~Shana Goldberg-Meehan~September 30, 1999~225552.0~22.95~6~~11.9/37~~
119~124~3~The One With Ross'S Denial~Gary Halvorson~Seth Kurland~October 7, 1999~225553.0~21.60~6~~11.5/34~~
120~125~4~The One Where Joey Loses His Insurance~Gary Halvorson~Andrew Reich & Ted Cohen~October 14, 1999~225554.0~21.07~6~~11.2/34~~
121~126~5~The One With Joey'S Porsche~Gary Halvorson~Perry Rein & Gigi McCreery~October 21, 1999~225555.0~22.39~6~~11.5/34~~
122~127~6~The One On The Last Night~David Schwimmer~Scott Silveri~November 4, 1999~225556.0~23.59~6~~12.3/34~~
123~128~7~The One Where Phoebe Runs~Gary Halvorson~Sherry Bilsing-Graham & Ellen Plummer~November 11, 1999~225557.0~22.75~6~~11.6/31~~
124~129~8~The One With Ross'S Teeth~Gary Halvorson~Story by : Andrew Reich & Ted CohenTeleplay by : Perry Rein & Gigi McCreery~November 18, 1999~225558.0~22.14~6~~10.8/31~~
125~130~9~The One Where Ross Got High~Kevin S. Bright~Gregory S. Malins~November 25, 1999~225559.0~19.17~6~~8.7/25~~
